scientific_name,common_name,taxon_id,count_china,count_data
Sturnia sinensis,灰背椋鸟,145102,69,223
Suthora alphonsiana,灰喉鸦雀,1505906,114,114
Suthora webbiana,棕头鸦雀,1505899,896,1196
Tachybaptus ruficollis,小??,4237,2047,1177
Tadorna ferruginea,赤麻鸭,7068,580,1200
Tadorna tadorna,翘鼻麻鸭,7067,128,364
Tarsiger cyanurus,红胁蓝尾鸲,210941,846,1033
Terpsiphone incei,寿带,549463,107,189
Thalasseus bergii,大凤头燕鸥,144540,100,306
Thalasseus bernsteini,中华凤头燕鸥,144544,77,82
Thinornis dubius,金眶鸻,1580336,168,1176
Tringa brevipes,灰尾漂鹬,144489,54,370
Tringa erythropus,鹤鹬,3882,181,393
Tringa glareola,林鹬,3888,276,1193
Tringa nebularia,青脚鹬,3878,465,1199
Tringa ochropus,白腰草鹬,3885,286,1033
Tringa stagnatilis,泽鹬,3881,202,671
Tringa totanus,红脚鹬,3879,235,1225
Trochalopteron elliotii,橙翅噪鹛,339863,248,248
Troglodytes troglodytes,鹪鹩,145363,100,215
Turdus cardis,乌灰鸫,12726,88,145
Turdus dissimilis,黑胸鸫,12750,108,130
Turdus eunomus,斑鸫,145087,283,1008
Turdus hortulorum,灰背鸫,12770,343,460
Turdus kessleri,棕背黑头鸫,12769,56,56
Turdus mandarinus,乌鸫,472778,2429,1193
Turdus naumanni,红尾鸫,203818,281,379
Turdus obscurus,白眉鸫,12776,57,190
Turdus pallidus,白腹鸫,12779,217,390
Turdus rubrocanus,灰头鸫,12763,99,100
Turdus ruficollis,赤颈鸫,203819,103,159
Upupa epops,戴胜,20969,815,1139
Urocissa erythroryncha,红嘴蓝鹊,495200,1225,1221
Vanellus cinereus,灰头麦鸡,4875,315,485
Vanellus vanellus,凤头麦鸡,4857,178,1028
Xenus cinereus,翘嘴鹬,3969,104,591
Yuhina nigrimenta,黑颏凤鹛,15318,62,72
Yungipicus canicapillus,星头啄木鸟,792951,412,688
Zapornia akool,红脚苦恶鸟,508917,101,127
Zoothera aurea,怀氏虎鸫,497042,185,249
Zosterops simplex,暗绿绣眼鸟,980257,726,1164
